30 5 50000
1 alfa-01 73.46 31
6 alfa-02 31.75 71
9 gazprom-01 123.12 6
2 pios-01 137.88 30
7 lykoil-01 170.63 14
2 lykoil-02 141.18 46
5 alfa-03 73.06 29
25 pios-02 110.27 46
29 lykoil-03 77.51 16
2 gazprom-02 134.60 16
22 alfa-04 75.15 38
3 alfa-05 141.91 12
3 lykoil-04 88.39 16
3 lykoil-05 54.20 12
4 pios-03 632.04 44
24 bar-01 66.14 12
4 gazprom-03 53.60 23
4 pios-04 155.12 6
30 alfa-06 147.78 23
30 gazprom-04 139.00 34
3 pios-05 122.62 25
16 bar-02 144.06 11
16 alfa-07 91.58 43
6 intel-01 112.18 45
6 intel-02 92.66 8
26 alfa-08 55.24 13
